earth science > land surface > soils > soil temperature, Count: 15, Level 4

earth science > atmosphere > atmospheric radiation > net radiation, Count: 7, Level 4

earth science > atmosphere > atmospheric water vapor > water vapor indicators > dew point temperature, Count: 44, Level 5

ecology, Count: 21, Level 1

biology, Count: 207, Level 1

plankton, Count: 116, Level 1

production, Count: 33, Level 1

land character, Count: 74, Level 1

mesonet, Count: 56, Level 1

mooring, Count: 35, Level 1

earth science > atmosphere > clouds > cloud dynamics, Count: 5, Level 4

earth science > atmosphere > clouds > cloud microphysics, Count: 7, Level 4

earth science > spectral/engineering > radar > doppler velocity, Count: 12, Level 4

sub-surface, Count: 38, Level 1

radioisotope, Count: 29, Level 1

bathymetry, Count: 20, Level 1

earth science > biosphere > vegetation > vegetation cover, Count: 64, Level 4

earth science > biosphere > vegetation > photosynthetically active radiation, Count: 5, Level 4

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > carbon dioxide, Count: 12, Level 5

ancillary info, Count: 67, Level 1

sediment, Count: 51, Level 1

ice physics, Count: 21, Level 1

optics, Count: 15, Level 1

profiler, Count: 48, Level 1

precipitation, Count: 27, Level 1

fish, Count: 23, Level 1

soils, Count: 70, Level 1

nutrient, Count: 47, Level 1

stable isotope, Count: 33, Level 1

earth science > spectral/engineering > radar > mean radial velocity, Count: 16, Level 4

earth science > atmosphere > atmospheric winds > upper level winds > boundary layer winds, Count: 23, Level 5

dem, Count: 3, Level 1

earth science > atmosphere > atmospheric radiation > incoming solar radiation, Count: 4, Level 4

earth science > atmosphere > atmospheric temperature > upper air temperature > virtual temperature, Count: 11, Level 5

snow and land ice, Count: 7, Level 1

earth science > atmosphere > atmospheric winds > wind dynamics > horizontal wind velocity/speed, Count: 8, Level 5

earth science > atmosphere > atmospheric radiation > longwave radiation, Count: 10, Level 4

earth science > atmosphere > aerosols, Count: 7, Level 3

earth science > atmosphere > atmospheric water vapor > water vapor indicators > humidity > absolute humidity, Count: 10, Level 6

earth science > atmosphere > atmospheric pressure > static pressure, Count: 9, Level 4

earth science > atmosphere > atmospheric radiation > shortwave radiation, Count: 10, Level 4

earth science > atmosphere > atmospheric temperature, Count: 8, Level 3

earth science > oceans > sea surface topography > sea surface height > sea surface height anomaly _ssha_, Count: 1, Level 5

earth science > oceans > ocean temperature > sea surface temperature, Count: 5, Level 4

active layer/permafrost, Count: 10, Level 1

buoy, Count: 20, Level 1

earth science > atmosphere > precipitation > precipitation amount > hourly precipitation amount, Count: 17, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor indicators > humidity > humidity mixing ratio, Count: 30, Level 6

earth science services > data analysis and visualization > global positioning systems, Count: 3, Level 3

earth science > atmosphere > atmospheric temperature > surface temperature > potential temperature, Count: 4, Level 5

earth science > biosphere > ecosystems > aquatic ecosystems > plankton > phytoplankton, Count: 3, Level 6

earth science > oceans > salinity/density > salinity, Count: 1, Level 4

earth science > biosphere > ecosystems > aquatic ecosystems > plankton > zooplankton, Count: 3, Level 6

earth science > oceans > ocean chemistry > ammonia, Count: 1, Level 4

earth science > oceans > ocean chemistry > nitrate, Count: 1, Level 4

earth science > oceans > ocean temperature, Count: 1, Level 3

radiation, Count: 19, Level 1

flux, Count: 38, Level 1

marine mammal acoustics, Count: 7, Level 1

marine mammal survey, Count: 13, Level 1

earth science > atmosphere > precipitation > precipitation amount > 24 hour precipitation amount, Count: 15, Level 5

earth science > oceans > ocean winds > surface winds, Count: 1, Level 4

sounding composites, Count: 28, Level 1

earth science > atmosphere > atmospheric radiation > solar radiation, Count: 14, Level 4

earth science > atmosphere > atmospheric winds > wind profiles > velocity azimuth display vertical wind profiles, Count: 5, Level 5

earth science > atmosphere > atmospheric electricity > lightning, Count: 3, Level 4

earth science > atmosphere > weather events > lightning, Count: 3, Level 4

earth science > biosphere > ecosystems > terrestrial ecosystems > alpine/tundra > arctic tundra, Count: 5, Level 6

earth science > biosphere > ecological dynamics > ecosystem functions > photosynthesis, Count: 4, Level 5

earth science > biosphere > ecological dynamics > ecosystem functions > respiration rate, Count: 4, Level 5

chlorophyll, Count: 4, Level 1

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > methane, Count: 2, Level 5

earth science > atmosphere > aerosols > organic particles, Count: 2, Level 4

earth science > atmosphere > air quality > particulates, Count: 1, Level 4

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > hydrochlorofluorocarbons, Count: 1, Level 5

earth science > atmosphere > atmospheric winds > wind dynamics > vertical wind velocity/speed, Count: 10, Level 5

earth science > atmosphere > atmospheric chemistry > hydrogen compounds > molecular hydrogen, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > nitrogen compounds > nitrous oxide, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > chlorofluorocarbons, Count: 1, Level 5

earth science > atmosphere > atmospheric temperature > upper air temperature, Count: 4, Level 4

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > methyl bromide, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > halons, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > halocarbons and halogens > hydrofluorocarbons, Count: 1, Level 5

earth science > atmosphere > atmospheric chemistry > oxygen compounds > molecular oxygen, Count: 2, Level 5

earth science > atmosphere > atmospheric chemistry > oxygen compounds > ozone, Count: 8, Level 5

earth science > atmosphere > aerosols > nitrate particles, Count: 1, Level 4

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > carbon monoxide, Count: 2, Level 5

earth science > climate indicators > land surface/agriculture indicators > vegetation cover, Count: 1, Level 4

earth science > cryosphere > glaciers/ice sheets > glaciers, Count: 1, Level 4

local and traditional knowledge, Count: 11, Level 1

earth science > atmosphere > precipitation > liquid precipitation > rain, Count: 3, Level 5

